answer_correctness_count,answer_correctness_max,answer_correctness_mean,answer_correctness_median,answer_correctness_min,answer_correctness_stddev,answered_fields,completion_tokens_count,completion_tokens_max,completion_tokens_mean,completion_tokens_median,completion_tokens_min,completion_tokens_stddev,config_id,definition,estimated_cost_count,estimated_cost_max,estimated_cost_mean,estimated_cost_median,estimated_cost_min,estimated_cost_stddev,faithfulness_count,faithfulness_max,faithfulness_mean,faithfulness_median,faithfulness_min,faithfulness_stddev,hallucinated_fields,hallucination_rate,ignored_answer_correctness,prompt_tokens_count,prompt_tokens_max,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_min,prompt_tokens_stddev,samples,total_ms_count,total_ms_max,total_ms_mean,total_ms_median,total_ms_min,total_ms_stddev
4,1.0,0.8679513737415103,0.8944738360273836,0.6828578229112741,0.11524809741836135,4,21,138.0,77.66666666666667,57.0,52.0,30.311609175259086,chunk300_overlap50_topk3,answered fields without valid evidence or contradicting a human-validated reference / answered fields,21,0.0002105,0.00016712857142857143,0.0001661,0.00011905,2.7777507050834918e-05,4,1.0,1.0,1.0,1.0,0.0,3,0.75,0,21,886.0,803.5238095238095,851.0,580.0,103.45627972268748,21,21,53694.0,39598.85238095238,48069.0,790.1,18449.796189185785
4,1.0,0.8679513737415103,0.8944738360273836,0.6828578229112741,0.11524809741836135,4,21,135.0,75.33333333333333,59.0,51.0,28.682719757694052,chunk300_overlap50_topk5,answered fields without valid evidence or contradicting a human-validated reference / answered fields,21,0.0002446,0.0001923642857142857,0.0001899,0.0001296,3.619110698071828e-05,4,1.0,1.0,1.0,1.0,0.0,3,0.75,0,21,1118.0,981.0952380952381,1059.0,658.0,161.19314199103917,21,21,64621.5,45689.37619047619,54969.5,857.8,21903.059776572307
4,1.0,0.867625957108204,0.893823002760771,0.6828578229112741,0.11516454288517053,4,21,154.0,79.38095238095238,60.0,50.0,35.39501739278889,chunk300_overlap80_topk3,answered fields without valid evidence or contradicting a human-validated reference / answered fields,21,0.0002334,0.00017457142857142858,0.0001705,0.0001233,3.09918866933965e-05,4,1.0,0.75,1.0,0.0,0.4330127018922193,3,0.75,0,21,943.0,846.2857142857143,871.0,582.0,114.06102913505094,21,21,55887.3,41228.538095238095,47766.8,970.6,18712.75701072288
5,1.0,0.9297208761109536,0.8967184046173372,0.8609583750332258,0.058652661303033655,5,21,140.0,82.76190476190476,75.0,49.0,33.429249755700845,chunk300_overlap80_topk5,answered fields without valid evidence or contradicting a human-validated reference / answered fields,21,0.00024945,0.00020187857142857146,0.00020655,0.0001452,3.352546853984784e-05,5,1.0,0.8,1.0,0.0,0.4,3,0.6,0,21,1163.0,1014.8095238095239,1094.0,669.0,156.23474982267612,21,21,64438.7,47289.57619047619,55084.8,912.9,21260.170713844564
2,1.0,1.0,1.0,1.0,0.0,2,21,105.0,64.9047619047619,56.0,51.0,18.69021837856767,chunk500_overlap50_topk3,answered fields without valid evidence or contradicting a human-validated reference / answered fields,21,0.00017835,0.00014470714285714286,0.00014655,0.0001042,2.5085431579923445e-05,2,1.0,1.0,1.0,1.0,0.0,0,0.0,0,21,841.0,705.0952380952381,769.0,490.0,119.71152021657046,21,21,52487.1,36471.857142857145,43891.1,734.9,17650.528953454475
6,1.0,0.8088178770958528,0.858602332298205,0.5548247039168704,0.14711344185602124,6,21,161.0,92.23809523809524,108.0,46.0,39.63032119825228,chunk500_overlap50_topk5,answered fields without valid evidence or contradicting a human-validated reference / answered fields,21,0.00025185,0.00018573571428571429,0.0001699,0.0001066,4.4954228422487966e-05,6,1.0,1.0,1.0,1.0,0.0,5,0.8333333333333334,0,21,1071.0,869.2857142857143,927.0,490.0,197.0032977382051,21,21,60800.2,31099.34761904762,32968.3,745.2,21529.47226439716
3,1.0,0.8598587425095371,0.8967184046173372,0.6828578229112741,0.13207009790302043,3,21,114.0,70.80952380952381,60.0,46.0,22.98574930694699,chunk500_overlap80_topk3,answered fields without valid evidence or contradicting a human-validated reference / answered fields,21,0.0001986,0.00015532142857142858,0.00016175,0.0001116,2.9789557819847556e-05,3,1.0,1.0,1.0,1.0,0.0,2,0.6666666666666666,0,21,893.0,752.2380952380952,848.0,502.0,153.41257934450417,21,21,53261.7,37603.385714285716,45885.0,740.1,16706.641509613724
4,1.0,0.9630261505248033,0.977693098740938,0.8967184046173372,0.04239462566132712,4,21,98.0,73.14285714285714,84.0,51.0,18.095739341428555,chunk500_overlap80_topk5,answered fields without valid evidence or contradicting a human-validated reference / answered fields,21,0.00022795,0.00017289285714285714,0.0001791,0.00011345,3.7437809655971256e-05,4,1.0,1.0,1.0,1.0,0.0,3,0.75,0,21,1128.0,860.047619047619,987.0,502.0,229.68518334170363,21,21,62986.6,41183.295238095234,48177.6,824.9,18874.88345930534
3,1.0,0.6881802430751632,1.0,0.06454072922548962,0.44097972925898604,3,21,134.0,68.80952380952381,55.0,50.0,28.71637834908031,chunk800_overlap50_topk3,answered fields without valid evidence or contradicting a human-validated reference / answered fields,21,0.00020735,0.00013611428571428573,0.00013725,8.215e-05,3.7586345490708974e-05,3,1.0,1.0,1.0,1.0,0.0,1,0.3333333333333333,0,21,847.0,632.1904761904761,689.0,343.0,163.62984331589016,21,21,48938.7,33233.10952380953,38162.4,1398.5,15109.531814778844
3,1.0,0.5785087204341947,0.6828578229112741,0.052668338391309716,0.39372229694070715,3,21,131.0,67.23809523809524,54.0,46.0,27.844645141185563,chunk800_overlap50_topk5,answered fields without valid evidence or contradicting a human-validated reference / answered fields,21,0.00023035,0.0001565142857142857,0.000169,0.0001001,4.362684064300091e-05,3,1.0,1.0,1.0,1.0,0.0,2,0.6666666666666666,0,21,1015.0,774.4761904761905,930.0,464.0,215.13088353872902,21,21,58825.8,37473.46666666667,47290.4,737.1,19193.00069430901
3,1.0,0.8598587425095371,0.8967184046173372,0.6828578229112741,0.13207009790302043,3,21,100.0,67.66666666666667,57.0,51.0,17.66442034236465,chunk800_overlap80_topk3,answered fields without valid evidence or contradicting a human-validated reference / answered fields,21,0.00018035,0.00014652142857142858,0.0001636,8.53e-05,3.493410999032788e-05,3,1.0,1.0,1.0,1.0,0.0,2,0.6666666666666666,0,21,897.0,706.1428571428571,793.0,348.0,196.97529110556596,21,21,51385.3,34936.64761904762,41997.7,786.3,17263.500039061742
4,1.0,0.8645399001991219,0.8876508889426068,0.6828578229112741,0.11466308378039257,4,21,104.0,74.9047619047619,83.0,54.0,17.568653800786276,chunk800_overlap80_topk5,answered fields without valid evidence or contradicting a human-validated reference / answered fields,21,0.00021045,0.00017653571428571428,0.0001965,0.0001024,3.6242710737921536e-05,4,1.0,1.0,1.0,1.0,0.0,3,0.75,0,21,1173.0,877.2857142857143,977.0,458.0,233.45074791201733,21,21,61222.2,40341.619047619046,49433.3,1094.9,20686.690416962694
