answer_correctness_count,answer_correctness_max,answer_correctness_mean,answer_correctness_median,answer_correctness_min,answer_correctness_stddev,answered_fields,approach,completion_tokens_count,completion_tokens_max,completion_tokens_mean,completion_tokens_median,completion_tokens_min,completion_tokens_stddev,config_id,definition,estimated_cost_count,estimated_cost_max,estimated_cost_mean,estimated_cost_median,estimated_cost_min,estimated_cost_stddev,faithfulness_count,faithfulness_max,faithfulness_mean,faithfulness_median,faithfulness_min,faithfulness_stddev,field,hallucinated_fields,hallucination_rate,ignored_answer_correctness,prompt_tokens_count,prompt_tokens_max,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_min,prompt_tokens_stddev,samples,total_ms_count,total_ms_max,total_ms_mean,total_ms_median,total_ms_min,total_ms_stddev
3,1.0,0.8928318735248574,1.0,0.6784956205745718,0.151558617915262,3,llm_no_retrieval,7,90.0,62.714285714285715,52.0,49.0,15.21009331909276,baseline_llm,answered fields without valid evidence or contradicting a human-validated reference / answered fields,7,0.00012865,9.815714285714285e-05,9.57e-05,7.74e-05,1.5583540505734814e-05,3,1.0,1.0,1.0,1.0,0.0,modalidade,1,0.3333333333333333,0,7,509.0,405.2857142857143,383.0,308.0,67.9384475320214,7,7,98466.1,34820.67142857143,31113.3,3304.7,27711.942003337237
1,0.9276572304861683,0.9276572304861683,0.9276572304861683,0.9276572304861683,0.0,1,llm_no_retrieval,7,89.0,62.0,52.0,48.0,15.175167685588,baseline_llm,answered fields without valid evidence or contradicting a human-validated reference / answered fields,7,0.00012865,9.815714285714285e-05,9.57e-05,7.74e-05,1.5583540505734814e-05,1,1.0,1.0,1.0,1.0,0.0,prazo_entrega_proposta,1,1.0,0,7,508.0,404.85714285714283,383.0,308.0,67.79470811928901,7,7,98468.3,34821.3,31113.5,3305.2,27712.472959455845
1,0.8562462895631844,0.8562462895631844,0.8562462895631844,0.8562462895631844,0.0,1,llm_no_retrieval,7,90.0,62.285714285714285,52.0,49.0,15.30372770381952,baseline_llm,answered fields without valid evidence or contradicting a human-validated reference / answered fields,7,0.00012865,9.815714285714285e-05,9.57e-05,7.74e-05,1.5583540505734814e-05,1,0.0,0.0,0.0,0.0,0.0,valor_estimado,1,1.0,0,7,508.0,405.0,383.0,308.0,67.73055862333169,7,7,98468.0,34821.02857142857,31113.4,3304.9,27712.517597531074
2,1.0,0.841428911455637,0.841428911455637,0.6828578229112741,0.15857108854436297,2,rag,7,138.0,77.57142857142857,57.0,52.0,30.363780786876152,chunk300_overlap50_topk3,answered fields without valid evidence or contradicting a human-validated reference / answered fields,7,0.0002105,0.00016712857142857143,0.0001661,0.00011905,2.7777507050834918e-05,2,1.0,1.0,1.0,1.0,0.0,modalidade,1,0.5,0,7,886.0,803.5714285714286,851.0,580.0,103.55517113784205,7,7,53693.9,39598.985714285714,48069.0,790.1,18449.89246537989
0,,,,,,0,rag,7,138.0,77.42857142857143,57.0,52.0,30.316695743704106,chunk300_overlap50_topk3,answered fields without valid evidence or contradicting a human-validated reference / answered fields,7,0.0002105,0.00016712857142857143,0.0001661,0.00011905,2.7777507050834918e-05,0,,,,,,prazo_entrega_proposta,0,,0,7,886.0,803.1428571428571,851.0,580.0,103.49938380966135,7,7,53694.0,39599.02857142857,48069.1,790.1,18449.89769508719
2,0.8980200711505627,0.8944738360273836,0.8944738360273836,0.8909276009042046,0.0035462351231790312,2,rag,7,138.0,78.0,57.0,52.0,30.2513281880789,chunk300_overlap50_topk3,answered fields without valid evidence or contradicting a human-validated reference / answered fields,7,0.0002105,0.00016712857142857143,0.0001661,0.00011905,2.7777507050834918e-05,2,1.0,1.0,1.0,1.0,0.0,valor_estimado,2,1.0,0,7,886.0,803.8571428571429,852.0,581.0,103.31287925717763,7,7,53692.4,39598.54285714286,48069.0,790.1,18449.59840158023
2,1.0,0.841428911455637,0.841428911455637,0.6828578229112741,0.15857108854436297,2,rag,7,135.0,75.28571428571429,59.0,51.0,28.65416591858496,chunk300_overlap50_topk5,answered fields without valid evidence or contradicting a human-validated reference / answered fields,7,0.0002446,0.00019236428571428572,0.0001899,0.0001296,3.619110698071828e-05,2,1.0,1.0,1.0,1.0,0.0,modalidade,1,0.5,0,7,1117.0,981.1428571428571,1059.0,659.0,161.01768187857823,7,7,64621.4,45689.514285714286,54969.5,857.9,21903.12774549585
0,,,,,,0,rag,7,135.0,75.0,59.0,51.0,28.879058156387302,chunk300_overlap50_topk5,answered fields without valid evidence or contradicting a human-validated reference / answered fields,7,0.0002446,0.00019236428571428572,0.0001899,0.0001296,3.619110698071828e-05,0,,,,,,prazo_entrega_proposta,0,,0,7,1117.0,980.7142857142857,1059.0,658.0,161.35295321190773,7,7,64621.5,45689.54285714286,54969.6,857.9,21903.14614595402
2,0.8980200711505627,0.8944738360273836,0.8944738360273836,0.8909276009042046,0.0035462351231790312,2,rag,7,135.0,75.71428571428571,60.0,52.0,28.509217986540452,chunk300_overlap50_topk5,answered fields without valid evidence or contradicting a human-validated reference / answered fields,7,0.0002446,0.00019236428571428572,0.0001899,0.0001296,3.619110698071828e-05,2,1.0,1.0,1.0,1.0,0.0,valor_estimado,2,1.0,0,7,1118.0,981.4285714285714,1060.0,659.0,161.20781365577002,7,7,64621.4,45689.07142857143,54969.5,857.8,21902.905434257824
2,1.0,0.841428911455637,0.841428911455637,0.6828578229112741,0.15857108854436297,2,rag,7,153.0,79.28571428571429,60.0,50.0,35.3177991779713,chunk300_overlap80_topk3,answered fields without valid evidence or contradicting a human-validated reference / answered fields,7,0.0002334,0.00017457142857142858,0.0001705,0.0001233,3.09918866933965e-05,2,1.0,1.0,1.0,1.0,0.0,modalidade,1,0.5,0,7,943.0,846.2857142857143,871.0,582.0,114.08482343754366,7,7,55887.3,41228.67142857143,47766.8,970.7,18712.84877073308
