answer_correctness_count,answer_correctness_max,answer_correctness_mean,answer_correctness_median,answer_correctness_min,answer_correctness_stddev,answered_fields,approach,completion_tokens_count,completion_tokens_max,completion_tokens_mean,completion_tokens_median,completion_tokens_min,completion_tokens_stddev,config_id,definition,document_id,estimated_cost_count,estimated_cost_max,estimated_cost_mean,estimated_cost_median,estimated_cost_min,estimated_cost_stddev,faithfulness_count,faithfulness_max,faithfulness_mean,faithfulness_median,faithfulness_min,faithfulness_stddev,hallucinated_fields,hallucination_rate,ignored_answer_correctness,prompt_tokens_count,prompt_tokens_max,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_min,prompt_tokens_stddev,samples,total_ms_count,total_ms_max,total_ms_mean,total_ms_median,total_ms_min,total_ms_stddev
2,1.0,0.9638286152430842,0.9638286152430842,0.9276572304861683,0.036171384756915836,2,llm_no_retrieval,3,90.0,89.66666666666667,90.0,89.0,0.4714045207910317,baseline_llm,answered fields without valid evidence or contradicting a human-validated reference / answered fields,641991ceb6e660eca6788fa1f67f78ad3535fd2e51a3827e44dccf301f4a57c8,3,0.00012865,0.00012865,0.00012865,0.00012865,0.0,2,1.0,1.0,1.0,1.0,0.0,1,0.5,0,3,499.0,499.0,499.0,499.0,0.0,3,3,19882.0,19881.166666666668,19880.8,19880.7,0.5906681715556039
0,,,,,,0,llm_no_retrieval,3,49.0,48.666666666666664,49.0,48.0,0.4714045207910317,baseline_llm,answered fields without valid evidence or contradicting a human-validated reference / answered fields,652462726db0b4bcfc0f0e2395180f981c8878dc14f7b2192ff3c9a1c8022194,3,8.925e-05,8.924999999999999e-05,8.925e-05,8.925e-05,0.0,0,,,,,,0,,0,3,401.0,400.3333333333333,400.0,400.0,0.4714045207910317,3,3,32366.5,32366.5,32366.5,32366.5,0.0
0,,,,,,0,llm_no_retrieval,3,50.0,49.333333333333336,49.0,49.0,0.4714045207910317,baseline_llm,answered fields without valid evidence or contradicting a human-validated reference / answered fields,6f3c1a66a3c2903f0ab613f40c60bee62e8ef0f16d01335235408d89a722a271,3,8.58e-05,8.579999999999998e-05,8.58e-05,8.58e-05,0.0,0,,,,,,0,,0,3,375.0,374.6666666666667,375.0,374.0,0.4714045207910317,3,3,31113.5,31113.399999999998,31113.4,31113.3,0.08164965809306965
1,0.6784956205745718,0.6784956205745718,0.6784956205745718,0.6784956205745718,0.0,1,llm_no_retrieval,3,69.0,69.0,69.0,69.0,0.0,baseline_llm,answered fields without valid evidence or contradicting a human-validated reference / answered fields,be756c98d704edb6500682b686627775d89ca13b2f4b39c00663ab6e539c00bc,3,9.57e-05,9.57e-05,9.57e-05,9.57e-05,0.0,1,1.0,1.0,1.0,1.0,0.0,1,1.0,0,3,362.0,362.0,362.0,362.0,0.0,3,3,33040.9,33040.86666666667,33040.9,33040.8,0.04714045207841718
0,,,,,,0,llm_no_retrieval,3,51.0,50.333333333333336,50.0,50.0,0.4714045207910317,baseline_llm,answered fields without valid evidence or contradicting a human-validated reference / answered fields,c8b8bc82a2ae07ac36dd8a047980f26a40d64132f5ffe4cb3dd8937cba292bb2,3,0.00010645,0.00010645,0.00010645,0.00010645,0.0,0,,,,,,0,,0,3,509.0,508.3333333333333,508.0,508.0,0.4714045207910317,3,3,3305.2,3304.933333333333,3304.9,3304.7,0.2054804667656178
2,1.0,0.9281231447815922,0.9281231447815922,0.8562462895631844,0.07187685521840781,2,llm_no_retrieval,3,78.0,77.33333333333333,77.0,77.0,0.4714045207910317,baseline_llm,answered fields without valid evidence or contradicting a human-validated reference / answered fields,cf9d64be8f5b6005dd50b57bb3912c02d5c26ae99ab4938f90ed5fb0f105f2ff,3,0.00010385,0.00010385,0.00010385,0.00010385,0.0,2,1.0,0.5,0.5,0.0,0.5,1,0.5,0,3,383.0,383.0,383.0,383.0,0.0,3,3,98468.3,98467.46666666667,98468.0,98466.1,0.9741092797449382
0,,,,,,0,llm_no_retrieval,3,52.0,52.0,52.0,52.0,0.0,baseline_llm,answered fields without valid evidence or contradicting a human-validated reference / answered fields,f7463e4e3b5ac2687850a83588cfffb438244a358e73619c871f8ab3611b190c,3,7.74e-05,7.74e-05,7.74e-05,7.74e-05,0.0,0,,,,,,0,,0,3,308.0,308.0,308.0,308.0,0.0,3,3,25572.7,25572.666666666668,25572.7,25572.6,0.04714045208013214
2,1.0,0.9454638004521023,0.9454638004521023,0.8909276009042046,0.05453619954789768,2,rag,3,138.0,138.0,138.0,138.0,0.0,chunk300_overlap50_topk3,answered fields without valid evidence or contradicting a human-validated reference / answered fields,641991ceb6e660eca6788fa1f67f78ad3535fd2e51a3827e44dccf301f4a57c8,3,0.0002105,0.0002105,0.0002105,0.0002105,0.0,2,1.0,1.0,1.0,1.0,0.0,1,0.5,0,3,852.0,851.3333333333334,851.0,851.0,0.4714045207910317,3,3,50286.3,50285.80000000001,50286.3,50284.8,0.7071067811865476
0,,,,,,0,rag,3,54.0,53.333333333333336,53.0,53.0,0.4714045207910317,chunk300_overlap50_topk3,answered fields without valid evidence or contradicting a human-validated reference / answered fields,652462726db0b4bcfc0f0e2395180f981c8878dc14f7b2192ff3c9a1c8022194,3,0.00011905,0.00011905,0.00011905,0.00011905,0.0,0,,,,,,0,,0,3,581.0,580.3333333333334,580.0,580.0,0.4714045207910317,3,3,52906.1,52906.1,52906.1,52906.1,0.0
0,,,,,,0,rag,3,52.0,52.0,52.0,52.0,0.0,chunk300_overlap50_topk3,answered fields without valid evidence or contradicting a human-validated reference / answered fields,6f3c1a66a3c2903f0ab613f40c60bee62e8ef0f16d01335235408d89a722a271,3,0.00016285,0.00016285,0.00016285,0.00016285,0.0,0,,,,,,0,,0,3,878.0,877.6666666666666,878.0,877.0,0.4714045207910317,3,3,47659.4,47659.36666666667,47659.4,47659.3,0.04714045207841718
1,0.6828578229112741,0.6828578229112741,0.6828578229112741,0.6828578229112741,0.0,1,rag,3,88.0,87.66666666666667,88.0,87.0,0.4714045207910317,chunk300_overlap50_topk3,answered fields without valid evidence or contradicting a human-validated reference / answered fields,be756c98d704edb6500682b686627775d89ca13b2f4b39c00663ab6e539c00bc,3,0.0001796,0.0001796,0.0001796,0.0001796,0.0,1,1.0,1.0,1.0,1.0,0.0,1,1.0,0,3,847.0,846.6666666666666,847.0,846.0,0.4714045207910317,3,3,53694.0,53693.43333333333,53693.9,53692.4,0.731816613336296
0,,,,,,0,rag,3,56.0,55.333333333333336,55.0,55.0,0.4714045207910317,chunk300_overlap50_topk3,answered fields without valid evidence or contradicting a human-validated reference / answered fields,c8b8bc82a2ae07ac36dd8a047980f26a40d64132f5ffe4cb3dd8937cba292bb2,3,0.0001661,0.0001661,0.0001661,0.0001661,0.0,0,,,,,,0,,0,3,886.0,886.0,886.0,886.0,0.0,3,3,23788.2,23788.13333333333,23788.1,23788.1,0.04714045208013214
